'자전거번호','대여일시','대여대여소번호','대여대여소명','대여거치대','반납일시','반납대여소번호','반납대여소명','반납거치대','이용시간(분)','이용거리(M)'
'SPB-02041','2018-01-01 00:00:10','227',' 양평2나들목 보행통로 입구',9,'2018-01-01 00:04:03','227',' 양평2나들목 보행통로 입구',9,3,50
'SPB-03796','2018-01-01 00:00:42','2219',"' 고속터미널역 8-1번, 8-2번 출구 사이'",15,'2018-01-01 00:25:41','3511',' 응봉역 1번출구',9,24,7670
'SPB-02402','2018-01-01 00:00:58','567',' 성수역 2번출구 앞',13,'2018-01-01 00:09:33','3506',' 영동대교 북단',2,8,1390
'SPB-01564','2018-01-01 00:01:02','568',' 청계8가사거리 부근',5,'2018-01-01 00:10:13','521',' 왕십리역 11번 출구 앞',9,8,1820
'SPB-05713','2018-01-01 00:01:03','361',' 동묘앞역 1번출구 뒤',4,'2018-01-01 00:06:18','383',' 신당역 12번 출구 뒤',8,4,850
'SPB-13209','2018-01-01 00:01:04','568',' 청계8가사거리 부근',9,'2018-01-01 00:10:09','521',' 왕십리역 11번 출구 앞',8,8,1800
'SPB-09797','2018-01-01 00:01:21','1321',' 국민은행 종암동지점 앞',14,'2018-01-01 00:27:25','358',' 성대입구 사거리',1,25,4770
'SPB-12909','2018-01-01 00:02:09','1125',' 명덕고교입구(영종빌딩)',6,'2018-01-01 00:06:45','1124',' 발산역 6번출구옆(다이소앞)',8,4,630
'SPB-09976','2018-01-01 00:02:15','2248',' 서초리슈빌S 글로벌 앞',1,'2018-01-01 00:05:48','2250',' 서초유치원 맞은편',10,3,950
'SPB-10413','2018-01-01 00:02:26','2306',' 압구정역 2번 출구 옆',1,'2018-01-01 00:28:05','509',' 이마트 버스정류소 옆',16,25,3900
'SPB-11627','2018-01-01 00:02:58','418',' 월드컵경기장역 3번출구 옆',5,'2018-01-01 00:30:15','175',' 홍연2교옆',12,27,4750
'SPB-12340','2018-01-01 00:03:20','418',' 월드컵경기장역 3번출구 옆',7,'2018-01-01 00:30:17','175',' 홍연2교옆',10,23,4820
'SPB-05563','2018-01-01 00:03:47','907',' CJ 드림시티',5,'2018-01-01 00:20:49','923',' 국민은행 연서지점',3,16,2930
'SPB-09931','2018-01-01 00:05:08','1224',' 아시아지하보도 2번 출구',11,'2018-01-01 00:36:50','2341',' 일원역 4~5번 출구 사이',1,30,5140
'SPB-01514','2018-01-01 00:05:17','232',' 양평우림 이비즈센타 앞',4,'2018-01-01 00:17:09','267',' 삼성화재 사옥 옆',1,11,1800
